Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
ALACHLOR;VMV_303;ng/l;Methachlor;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
ALDICARB;0;µg/l;Aldicarb;;;;;Undefined Analysis Method
ALDICARB;VMV_3461;ng/l;Aldicarb;Carbamate fungicides in water are analyzed by SPE and ESI-LC-MS/MS.;Chromatography;VMV Method;VMV Method;
ALDRIN;0;µg/l;Aldrin;;;;;Undefined Analysis Method
ALDRIN;APAT5060_2003;µg/l;Aldrin;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
ALDRIN;EPA8080A;µg/l;Aldrin;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
ALDRIN;EPA8270D;µg/l;Aldrin;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
ALDRIN;GC;µg/l;Aldrin;Gas Chromatography;Chromatography;;;
ALDRIN;ISO6468_1996;µg/l;Aldrin;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
ALDRIN;LLE-GC-ECD;µg/l;Aldrin;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantitated, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry. Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.
ALDRIN;MI_C_10_007REV1_2000;µg/l;Aldrin;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
ALDRIN;PB-04;µg/l;Aldrin;PB-04/2006/PEl;;PB-04;PB-04;
ALDRIN;VMV_2863;ng/l;Aldrin;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
ALDRIN;VMV_3654;ng/l;Aldrin;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
ALPHACYPERMETHRIN;0;µg/l;Alpha-Cypermethrin;;;;;Undefined Analysis Method
AMETRYN;0;µg/l;N-ethyl-6-(methylsulfanyl)-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine;;;;;Undefined Analysis Method
AMETRYN;GC;µg/l;N-ethyl-6-(methylsulfanyl)-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine;Gas Chromatography;Chromatography;;;
AMETRYN;VMV_303;ng/l;N-ethyl-6-(methylsulfanyl)-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
AMETRYN;VMV_526;ng/l;N-ethyl-6-(methylsulfanyl)-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine;Analysis of organophosphorus and triazine pesticides in surface waters - by gas chromatography.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0500E0.
AMPA;0;µg/l;Aminomethylphosphonic acid;;;;;Undefined Analysis Method
ANTH;0;µg/l;1,2-Dihydroacenaphthylene;;;;;Undefined Analysis Method
ANTH;EPA8310;µg/l;1,2-Dihydroacenaphthylene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
ANTH;P-T-GC-MS;µg/l;1,2-Dihydroacenaphthylene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
ANTH;VMV_2863;ng/l;1,2-Dihydroacenaphthylene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
ANTH;VMV_3669;ng/l;1,2-Dihydroacenaphthylene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
ANTH;VMV_4100;µg/l;1,2-Dihydroacenaphthylene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
ANTHRACENE;0;µg/l;Anthracene;;;;;Undefined Analysis Method
ANTHRACENE;APAT5080_2003;µg/l;Anthracene;"Polycyclic aromatic hydrocarbons (LLE or SPE + GC-MS; LLE or SPE + HPLC-UV or HPLC-fluorescence)";Chromatography;APAT 2003;APAT 2003;
ANTHRACENE;EPA8270D;µg/l;Anthracene;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
ANTHRACENE;EPA8310;µg/l;Anthracene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
ANTHRACENE;ISO17993_2003;µg/l;Anthracene;Determination of 15 polycyclic aromatic hydrocarbons (PAH) in water by HPLC with fluorescence detect;Chromatography;ISO 2003;ISO 2003;
ANTHRACENE;ISO6468_1996;µg/l;Anthracene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
ANTHRACENE;MI_C_01_002REV2_2005;µg/l;Anthracene;analisi - MI/C/01/002 REV 2: 2005 - DETERMINAZIONE DI IPA TOTALI IN ACQUA E TERRENO;;;;
ANTHRACENE;P-T-GC-MS;µg/l;Anthracene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
ANTHRACENE;PB-01;µg/l;Anthracene;PB-01/2006/PEl;;PB-01;PB-01;
ANTHRACENE;VMV_3669;ng/l;Anthracene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
ANTL;0;µg/l;Acenaphthylene;;;;;Undefined Analysis Method
ANTL;EPA8310;µg/l;Acenaphthylene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
ANTL;P-T-GC-MS;µg/l;Acenaphthylene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
ANTL;VMV_2863;ng/l;Acenaphthylene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
ANTL;VMV_3669;ng/l;Acenaphthylene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
ANTL;VMV_4100;µg/l;Acenaphthylene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
AOX;0;µg/l;Adsorbable Organic Halides;;;;;Undefined Analysis Method
ATENOLOL;0;µg/l;Atenolol;;;;;Undefined Analysis Method
ATRAZINE;0;µg/l;Atrazine;;;;;Undefined Analysis Method
ATRAZINE;APAT5060_2003;µg/l;Atrazine;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
ATRAZINE;EPA8080A;µg/l;Atrazine;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
ATRAZINE;EPA8270D;µg/l;Atrazine;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
ATRAZINE;GC;µg/l;Atrazine;Gas Chromatography;Chromatography;;;
ATRAZINE;GC-ECD;µg/l;Atrazine;Gas Chromatography with Electron Capture Detection;Chromatography;;;
ATRAZINE;GC-NPD;µg/l;Atrazine;Gas Chromatography with Nitrogen-Phosphorus Detector;Chromatography;NAQ 18415;Environment Canada 1979;A sample aliquot is extracted with dichloromethane three times. The extract is loaded on a Florisil® column and two separate fractions are eluted using 15% dichloromethane in hexane for fraction A and 2% methanol in dichloromethane for fraction B (which contains the atrazine). Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/NPD and quantitated, according to its retention time and peak height/area, using a multi-point calibration curve. A gas chromatograph equipped with a mass selective detector (GC/MSD) is used if confirmation is required. Interference: Some organic compounds may co-extract with atrazine but most interferences are eliminated by Florisil® clean up. All solvents are checked for background interference.
ATRAZINE;HPLC-UV;µg/l;Atrazine;High Performance Liquid Chromatography with UV Detection;Chromatography;;;
ATRAZINE;ISO10695_2000;µg/l;Atrazine;Determination of selected organic nitrogen and phosphorus compounds - Gas chromatographic methods;Chromatography;ISO 2000;ISO 2000;
ATRAZINE;ISO11369_1997;µg/l;Atrazine;Determination of selected plant treatment agents - Method using high performance liquid chromatograp;Chromatography;ISO 1997;ISO 1997;
ATRAZINE;ISO6468_1996;µg/l;Atrazine;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
ATRAZINE;MI_C_10_007REV1_2000;µg/l;Atrazine;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
ATRAZINE;VMV_2868;ng/l;Atrazine;Analysis of sulphate in unfiltered samples using COBAS method;Colorimetry;VMV Method;VMV Method;
ATRAZINE;VMV_3003;ng/l;Atrazine;Analysis of neutral herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
ATRAZINE;VMV_303;ng/l;Atrazine;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
ATRAZINE;VMV_3216;ng/l;Atrazine;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
ATRAZINE;VMV_526;ng/l;Atrazine;Analysis of organophosphorus and triazine pesticides in surface waters - by gas chromatography.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0500E0.
ATRAZINEDESET;0;µg/l;Atrazine-desethyl;;;;;Undefined Analysis Method
ATRAZINEDESET;APAT5060_2003;µg/l;Atrazine-desethyl;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
ATRAZINEDESET;GC;µg/l;Atrazine-desethyl;Gas Chromatography;Chromatography;;;
ATRAZINEDESET;ISO10695_2000;µg/l;Atrazine-desethyl;Determination of selected organic nitrogen and phosphorus compounds - Gas chromatographic methods;Chromatography;ISO 2000;ISO 2000;
ATRAZINEDESET;VMV_2868;ng/l;Atrazine-desethyl;Analysis of sulphate in unfiltered samples using COBAS method;Colorimetry;VMV Method;VMV Method;
ATRAZINEDESET;VMV_3003;ng/l;Atrazine-desethyl;Analysis of neutral herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
ATRAZINEDESET;VMV_303;ng/l;Atrazine-desethyl;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
ATRAZINEDESET;VMV_3216;ng/l;Atrazine-desethyl;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
ATTAINA;0;µg/l;Fluroxypyr-Meptyl;;;;;Undefined Analysis Method
AZINPHOS-ETHYL;0;µg/l;Azinphos-ethyl;;;;;Undefined Analysis Method
AZINPHOS-ETHYL;VMV_303;ng/l;Azinphos-ethyl;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
AZITHROMYCIN;0;µg/l;Azithromycin;;;;;Undefined Analysis Method
AZOXYSTROBIN;0;µg/l;Azoxystrobin;;;;;Undefined Analysis Method
Ag-Dis;0;µg/l;Silver - Dissolved;;;;;Undefined Analysis Method
Ag-Dis;FAAS-AAc-D;mg/l;Silver - Dissolved;Direct Air-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 B;APHA 2012;A sample is preserved in the field with EDTA/nitric acid. The sample aliquot is aspirated and the absorbance is measured spectrometrically and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame.
Ag-Dis;ISO15586_2003;µg/l;Silver - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Ag-Dis;ISO17294-2_2004;µg/l;Silver - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
Ag-Dis;VMV_1920;µg/l;Silver - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_2651;mg/l;Silver - Dissolved;Dissolved silver in a filtered samples using ICP-OES spectrometer with an external nebulizer;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_2725;µg/l;Silver - Dissolved;Dissolved metals are analyzed by ICP-AES;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_2816;µg/l;Silver - Dissolved;Dissolved metals by inductively coupled argon plasma/mass spectrometer with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_3007;µg/l;Silver - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_3017;µg/l;Silver - Dissolved;Dissolved metals by inductively coupled argon plasma-mass spectrometry technique (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_3529;µg/l;Silver - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_3584;µg/l;Silver - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ag-Dis;VMV_3744;µg/l;Silver - Dissolved;Analysis of dissolved metals is done by inductively coupled argon plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Ag-Ext;FAAS-AAc-E;mg/l;Silver - Extractable;Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 C;APHA 2012;The whole water sample, preserved with EDTA, is acidified with dilute mineral acid (0.2% HNO3), shaken, left to stand overnight. The pH of an aliquot of this solution is adjusted to between 3.5 and 6.5. The aliquot is extracted with ethyl propionate containing diphenylthiocarbazone. The solvent layer is homogenized with acetone and analyzed spectrophotometrically at a wavelength of 328.1 nm and compared with those of identically prepared standards. An acetylene-air oxidizing flame is used.
Ag-Ext;VMV_1917;µg/l;Silver - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Ag-Ext;VMV_2817;µg/l;Silver - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ag-Ext;VMV_2841;µg/l;Silver - Extractable;Extractable elements in acid preserved samples are analyzed by ICP-MS.;Spectroscopy;VMV Method;VMV Method;
Ag-Ext;VMV_4070;µg/l;Silver - Extractable;Extractable metals by inductively coupled plasma-collision/reaction cell-mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Ag-Tot;0;µg/l;Silver - Total;;;;;Undefined Analysis Method
Ag-Tot;ICP-AES-Dgs;mg/l;Silver - Total;Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion);Spectroscopy;SM 3120 B;APHA 2012;Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis.
Ag-Tot;ICP-SFMS-CVD;mg/l;Silver - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
